დასახელება,ლინკი,აღწერა,ჰიტები(გუშინ),უნიკალური(გუშინ)
adjaranet.com,http://adjaranet.com,ფილმები და სერიალები ქართულად,"940,534","165,572"
MyVideo.GE - ვიდეო პორტალი,http://www.myvideo.ge,"პირველი ქართული ვიდეოპორტალი. ვიდეო, ტელევიზია გადახვევით, ქართულად გახმოვანებული ფილმები, და სხვა.","446,734","95,704"
MyAuto.GE,http://myauto.ge,კავკასიის ყველაზე დიდი ავტოპორტალი,"635,223","55,450"
Ambebi.ge (ამბები.ge),http://ambebi.ge,"საინფორმაციო პორტალი - ექსკლუზივი, პოლიტიკა, ეკონომიკა, შოუ-ბიზნესი, მედიცინა, კრიმინალი, სპორტი","150,750","62,542"
MyMarket.GE,http://www.mymarket.ge,უფასო განცხადებების ყველაზე დიდი პორტალი,"280,318","36,597"
iMovies.cc,http://www.imovies.cc,"Online ფილმების დიდი არჩევანი. ქართულად, ინგლისურად და რუსულად გახმოვანებული  HD ხარისხის ფილმები.","225,760","30,960"
news agency “InterpressNews”,http://www.interpressnews.ge,"საინფორმაციო სააგენტო ""ინტერპრესნიუსი""","119,488","47,220"
On.ge - გაიგე მეტი,http://on.ge,"სანდო წყარო — ახალი ამბები, ჟურნალი, ტექნოლოგიები, მეცნიერება და მართვის მოწმობის ტესტები.","84,860","36,108"
newposts,http://www.newposts.ge,"საინფორმაციო სააგენტო - პოლიტიკა, ეკონომიკა, მსოფლიო, სოც.მედია, ეს საინტერესოა, სპორტი, მოდა","65,518","37,582"
Primetime.Ge,http://primetime.ge,"საინფორმაციო სააგენტო - პოლიტიკა, ეკონომიკა, საზოგადოება, სამართალი, არჩევნები, სპორტი, კულტურა","65,228","38,828"
imedinews,http://www.imedinews.ge,"ქართული და მსოფლიო პოლიტიკური, ეკონომიკური, ტექნოლოგიური, კულტურული და სპორტული სიახლეები","59,342","35,670"
AMINDI.GE,http://amindi.ge,"ამინდის პროგნოზი (24 საათი , 25 დღე), საცობების რუკა, ჯანმრთელობა, ფრენები...","67,164","28,699"
Palitravideo.ge,http://www.palitravideo.ge,"საინფორმაციო ვიდეოპორტალი. ახალი ამბები,  ექსკლუზიური სიუჟეტები, ვირუსული ვიდეოები.","57,555","30,931"
SS.GE - სიტყვა და საქმე,http://ss.ge,"უძრავი ქონების რეალური განცხადებები, ყველა განცხადება ერთ საიტზე","192,605","18,823"
მთავარი არხი,http://mtavari.tv,მთავარი არხის ოფიციალური საიტი,"50,299","35,027"
TV სკოლა - tvschool.ge,http://tvschool.ge/,დისტანციური განათლებისთვის განკუთვნილი პლატფორმა მოსწავლეებისა და მასწავლებლებისთვის,"110,871","18,569"
intermedia.ge ინტერმედია,http://intermedia.ge,"ტელევიზია, ვიდეო, სტატიები და ფოტო მასალები - საინფორმაციო შემეცნებითი გასართობი პორტალი","55,751","26,558"
MyHome.GE,http://myhome.ge,1 უძრავი ქონების პლატფორმა საქართველოში,"171,608","17,934"
Rustavi 2,http://www.rustavi2.ge,Broadcasting Company Rustavi 2,"44,433","30,675"
GEO.SAITEBI.GE,http://geo.saitebi.ge,ქართულად გახმოვანებული ფილმები,"85,517","16,947"
