სათაური,ავტორი,ფასი,ლინკი
"თუ საჭიროა, გათქმევინებთ",შორენა ლებანიძე,₾5.00 GEL,"http://lit.ge/book/288583-tu-sachiroa,-gatqmevinebt-shorena-lebanidze/"
გამოღვიძება,ქეით ჩოპინი,₾11.00 GEL,http://lit.ge/book/288516-gamoghvidzeba-qeit-chopini/
მოთხრობები ლიტერატურაზე – 2,ლევან ბრეგაძე,₾11.10 GEL,http://lit.ge/book/288471-motxrobebi-literaturaze-2-levan-bregadze/
როგორ მოვიფიქროთ იდეა,კოტე იანტბელიძე,₾6.50 GEL,http://lit.ge/book/288392-rogor-movifiqrot-idea-kote-iantbelidze/
თარგმანში რომ არ დავიკარგოთ,აკაკი მუმლაძე,უფასო,http://lit.ge/book/288354-targmanshi-rom-ar-davikargot-akaki-mumladze/
მესაათე,თამაზ მჟავანაძე,უფასო,http://lit.ge/book/288292-mesaate-tamaz-mzhavanadze/
ეს არ არის ჩიბუხი,მიშელ ფუკო,₾4.60 GEL,http://lit.ge/book/288263-es-ar-aris-chibuxi-mishel-fuko/
ცხრაკლიტული,ჟან-პოლ სარტრი,₾4.60 GEL,http://lit.ge/book/288231-cxraklituli-zhan-pol-sartri/
ნაპოლეონი,ჟან ტიულარი,₾9.90 GEL,http://lit.ge/book/288152-napoleoni-zhan-tiulari/
ტოტემიზმი დღეს,კლოდ ლევი-სტროსი,₾6.00 GEL,http://lit.ge/book/288113-totemizmi-dghes-klod-levi-strosi/
პროზის გამყიდველი გოგონა,დანიელ პენაკი,₾8.80 GEL,http://lit.ge/book/288025-prozis-gamyidveli-gogona-daniel-penaki/
კაციჭამიათა საბედნიეროდ,დანიელ პენაკი,₾5.00 GEL,http://lit.ge/book/287961-kacichamiata-sabednierod-daniel-penaki/
ფერია კარაბინით,დანიელ პენაკი,₾5.00 GEL,http://lit.ge/book/287896-feria-karabinit-daniel-penaki/
ძაღლი ძაღლი,დანიელ პენაკი,₾3.70 GEL,http://lit.ge/book/287783-dzaghli-dzaghli-daniel-penaki/
საფეხური,თაზო ვაჩნაძე,₾3.90 GEL,http://lit.ge/book/287698-safexuri-tazo-vachnadze/
შიშის ველი,ართურ კონან დოილი,₾5.90 GEL,http://lit.ge/book/287654-shishis-veli-artur-konan-doili/
ოჯახური ცხოვრება,ახილ შარმა,₾5.90 GEL,http://lit.ge/book/287613-ojaxuri-cxovreba-axil-sharma/
დაო დე ძინი,ლაო-ძი,₾3.90 GEL,http://lit.ge/book/287582-dao-de-dzini-lao-dzi/
ნეტოჩკა ნეზვანოვა,ფიოდორ დოსტოევსკი,₾5.90 GEL,http://lit.ge/book/287552-netochka-nezvanova-fiodor-dostoevski/
ანგელოზთა აჯანყება,ანატოლ ფრანსი,₾5.90 GEL,http://lit.ge/book/287493-angelozta-ajanyeba-anatol-fransi/
ფანტასტიკური მოთხრობები,თეოფილ გოტიე,₾5.90 GEL,http://lit.ge/book/287461-fantastikuri-motxrobebi-teofil-gotie/
სხვა ცხოვრება,სერგეი დოვლატოვი,₾3.90 GEL,http://lit.ge/book/287430-sxva-cxovreba-sergei-dovlatovi/
მკვლელის ჰიგიენა,ამელი ნოტომი,₾5.90 GEL,http://lit.ge/book/287396-mkvlelis-higiena-ameli-notomi/
რაც მაგონდება და როგორც მაგონდება,ლანა ღოღობერიძე,₾13.90 GEL,http://lit.ge/book/287316-rac-magondeba-da-rogorc-magondeba-lana-ghoghoberidze/
ფეხებზე დაკიდების ნატიფი ხელოვნება,მარკ მენსონი,₾9.90 GEL,http://lit.ge/book/287280-fexebze-dakidebis-natifi-xelovneba-mark-mensoni/
"ანა ესკური აღმა, დინების წინააღმდეგ",ანა ესკური,₾6.90 GEL,"http://lit.ge/book/287228-ana-eskuri-aghma,-dinebis-tsinaaghmdeg-ana-eskuri/"
აკრძალული ადგილი,ფრედ ვარგასი,₾11.70 GEL,http://lit.ge/book/287157-akrdzaluli-adgili-fred-vargasi/
